Ray Tracing from the Ground Up,Taylor & Francis Group,Not listed on page,,Data Visualization by Taylor & Francis
React 17 Design Patterns and Best Practices,Packt,9781800564442,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
React and Libraries,Springer / Apress,978-1484266953,,Full Stack Web Development by Springer/Apress
React and React Native,Packt,9781803241289,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
React Application Architecture for Production,Packt,9781804617571,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
React Cookbook,O'Reilly,9781492085843,,Humble Book Bundle: Coding Cookbooks by O'Reilly
React Key Concepts,Packt,9781803231433,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
React Native Blueprints,Packt,9781787283732,,iOS & Android Mobile Development by Packt
"React Native Cookbook, 2nd Edition",Packt,9781788991391,,iOS & Android Mobile Development by Packt
React Native in Action,Manning Publications,Not provided on page,,"Programming Bootcamp: Python, Javascript & More by Manning"
React Projects,Packt,9781838555122,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
React Quickly,Manning Publications,9781617293344,,Web & iPhone Mobile Apps
"React: Tools & Skills, 2nd Edition",SitePoint,Digital-Only Release,,Humble Tech Book Bundle: Front End Web Dev by SitePoint
Reactive Patterns with RxJS for Angular,Packt,9781803240633,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
Real Estate Investing 101,Simon & Schuster (Adams Media),9781507212004,,Humble Book Bundle: Knowledge 101!
Real-Time Embedded Components and Systems With Linux and RTOS,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
Real-Time Phoenix,Pragmatic Bookshelf,9781680507195,,Humble Tech Book Bundle: Elixir Programming
Real-Time Twilio and Flybase,Springer / Apress,978-1484270745,,Full Stack Web Development by Springer/Apress
Real-World Cryptography,Manning Publications,Unavailable,,Math for Programmers 2023
Real-World Implementation of C# Design Patterns,Packt,9781803247953,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
Real-World Python: A Hacker's Guide to Solving Problems with Code,No Starch Press,9781718500440,,Humble Book Bundle: Learn You More Python
Real-World Software Development,O'Reilly,9781492053613,,Humble Tech Book Bundle: Software Development Books by O'Reilly Media
Rebecca Ringquist's Embroidery Workshops: A Bend-the-Rules Primer,Abrams Books,9781613129791,,"Humble Book Bundle: Get Crafty: Knitting, Sewing & Crafting by ABRAMS"
Recipes from Around Our Family Table,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
Reclaim Your Life,Callisto Publishing,N/A (Digital Bundle),,Humble Book Bundle: Mental Health by Callisto Media
Red Dead Redemption,Boss Fight Books,978-1-940535-24-1,,Humble Book Bundle: Video Game Histories
Red Screen,Humble Bundle,None (Exclusive Digital Release),,A Humble Exclusive: RED SCREEN by Stephen King
Redis Stack for Application Modernization,Packt,,,Humble Tech Book Bundle: Mastering Every Database by Packt
Refactoring at Scale,O'Reilly,9781492075530,,Humble Tech Book Bundle: Software Development Books by O'Reilly Media
Refactoring with C#,Packt,9781835089989,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
Regular Expression Puzzles and AI Coding Assistants,Manning Publications,9781633437814,,Code Like a Pro 2024 by Manning
Regular Expressions Cookbook,O'Reilly,,,Humble Book Bundle: Programming Cookbooks 2021
"Regular Expressions Cookbook, 2E",O'Reilly,9781449319434,,Humble Book Bundle: Coding Cookbooks by O'Reilly
Regular Expressions Pocket Primer,"Walter De Gruyter, Inc. / Mercury",9781683921134,,Data Science & Data Analytics
Reinventing Yourself,Career Press,978-1632650122,,Choose Your Own Career Path
Relax: Reference to Go,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Reliable JavaScript: How to Code Safely in the World's Most Dangerous Language,Wiley,978-1119209553,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Religion 101,Simon & Schuster (Adams Media),9781440572630,,Humble Book Bundle: Knowledge 101!
Repurposed Library,Abrams Books,9781584799092,,"Humble Book Bundle: Get Crafty: Knitting, Sewing & Crafting by ABRAMS"
"Rescue, Restore, Redecorate: Amy Howard's Guide to Refinishing Furniture and Accessories",Abrams Books,9781419729010,,"Humble Book Bundle: Get Crafty: Knitting, Sewing & Crafting by ABRAMS"
Resident Evil,Boss Fight Books,978-1-940535-25-8,,Humble Book Bundle: Video Game Histories
Responsible AI,Pearson,9780138073923,,"Humble Tech Book Bundle: Machine Learning, AI, Deep Learning, and LLM by Pearson"
Responsible Data Science,Wiley,9781119741756,,Data Visualization by Wiley
RESTful Web API Patterns & Practices Cookbook,O'Reilly,9781098106744,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Restorative Yoga for Beginners,Callisto Publishing,9781646111848,,Humble Book Bundle: Health & Wellness
Rethink: The Way You Live,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Retirement 101,Simon & Schuster (Adams Media),9781507211830,,Humble Book Bundle: Knowledge 101!
Retro Gaming with Raspberry Pi,Raspberry Pi Press,N/A (Official Guide),,Humble Book Bundle: Raspberry Pi Uncut
Revolution in The Valley,O'Reilly Media,9780596007195,,Humble Book Bundle: Gifts for the Technically Inclined
Road Trip Survival Guide,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Robbie's Wife,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Robot Ethics,MIT Press,9780262539851,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
Robust Python,O'Reilly Media,9781098100667,,Humble Tech Book Bundle: Popular Programming Languages by O'Reilly
Romancing the Stove: Celebrated Recipes and Delicious Fun for Every Kitchen Goddess,Mango Media,9781642504811,,"Humble Book Bundle: Eat, Drink & Be Merry"
Ruby Under a Microscope: An Illustrated Guide to Ruby Internals,No Starch Press,9781593275273,,Humble Book Bundle: Learn You Some Code
Ruhlman's Twenty,Chronicle Books,978-0811876438,,The Calculating Chef
Running Your First Marathon,Callisto Publishing,9781641520157,,Humble Book Bundle: Health & Wellness
Rust Brain Teasers,The Pragmatic Programmers,978-1-68050-917-5,,Functional Programming by Pragmatic Programmers
Rust for Rustaceans,No Starch Press,978-1-71850-070-9,,The Joy of Coding
Rust in Action,Manning Publications,9781617294556,,Code Like a Pro 2024 by Manning
"Rust Servers, Services, and Apps",Manning Publications,9781617298608,,Code Like a Pro 2024 by Manning
Rustic Mexican,Insight Editions,N/A,,The Chef's Kitchen
Rustic Spanish,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
RxJava for Android,Manning Publications,9781617294020,,Web & iPhone Mobile Apps
Ryuko Volume 1,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Ryuko Volume 2,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
"Sake Confidential: A Beyond-the-Basics Guide to Understanding, Tasting, Selection, and Enjoyment",Stone Bridge Press,978-1611720174,,Japanese Culture & Language
Sales & Pitch Letters for Busy People,Career Press,9781564149954,,Humble Book Bundle: Career Building by Career Press
Sales 101,Simon & Schuster (Adams Media),9781507204917,,Humble Book Bundle: Knowledge 101!
Sally's Baking Addiction,The Quarto Group,9781631062766,,Humble Book Bundle: Cookbooks by Quarto
Sally's Candy Addiction,The Quarto Group,9781631061424,,Humble Book Bundle: Cookbooks by Quarto
Sally's Cookie Addiction,The Quarto Group,9781631063077,,Humble Book Bundle: Cookbooks by Quarto
Salvage Chef Cookbook,Skyhorse Publishing,978-1629144368,,Eat Like a Geek
SAP Transaction Codes,"Walter De Gruyter, Inc.",[Not on page],,STEM Productivity Library by Mercury
Sausage Making,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Saveur: The New Classics Cookbook,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
Saveur: The New Comfort Food,Chronicle Books,978-1616289584,,The Calculating Chef
Science and Computing with Raspberry Pi,Morgan & Claypool Publishers,9781681745527,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
Science Fiction Prototyping: Designing the Future with Science Fiction,Morgan & Claypool Publishers,,,Humble Book Bundle: Cutting Edge Tech by Morgan Claypool
Science in the Arena: Explanations and Analyses of Performances and Phenomena in Sports,Morgan & Claypool Publishers,9781681743608,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
Science of Serial Killers,Skyhorse Publishing,9781510754973,,True Crime Essentials
Scientific Computing with Python,Packt,9781838822323,,Humble Book Bundle: All-in-One Python by Packt
Screen-Free Fun,Simon & Schuster,N/A,,Stuff That Kids Love by Adams Media
Search for Anne Perry,Skyhorse Publishing,9781629145396,,True Crime Essentials
Search For Why,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
"Season: Big Flavors, Beautiful Food",Chronicle Books,978-1452160320,,The Calculating Chef
Secret Key Cryptography,Manning Publications,Unavailable,,Math for Programmers 2023
"Secrets and Lies: Digital Security in a Networked World, 15th Anniversary Edition",Wiley,Not specified,,Humble Book Bundle: Cybersecurity by Wiley
Secrets of a Cyber Security Architect,Taylor & Francis Group,9781138054639,,Humble Tech Book Bundle: Cybersecurity and Forensics by CRC Press
Secrets Of Power Negotiating,Career Press,978-1601631398,,Choose Your Own Career Path
Secrets Of Power Salary Negotiating,Career Press,9781601631480,,Humble Book Bundle: Career Building by Career Press
"Secrets of the JavaScript Ninja, Second Edition",Manning Publications,,,Code Like a Pro by Manning Publications
Secure and Smart Internet of Things (IoT),River Publishers,9788770220309,,Humble Tech Book Bundle: Big Data & IoT by River Publishers
Security and Microservice Architecture on AWS,O'Reilly,9781098101466,,Humble Tech Book Bundle: Cloud Infrastructure & Operations by O'Reilly
Security without Obscurity: Frequently Asked Questions (FAQ),Taylor & Francis Group,9780367486129,,Humble Tech Book Bundle: Cybersecurity and Forensics by CRC Press
"sed & awk, 2nd Edition",O'Reilly,978-1-565-92225-9,,Humble Book Bundle: Unix & Linux by O'Reilly
Seeking Slow: Reclaim Moments of Calm in Your Day,The Quarto Group,9781631066344,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Seeking SRE,O'Reilly Media,9781491978863,,DevOps by O'Reilly
Select Ideas in Partial Differential Equations,Morgan & Claypool Publishers,978-1627057059,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
"Selected Topics in Intelligent Chips with Emerging Devices, Circuits and Systems",River Publishers,9781003388517,,"Humble Tech Book Bundle: Electronics, Circuits, and Science"
Semi-Supervised Learning and Domain Adaptation in Natural Language Processing,Morgan & Claypool Publishers,978-1-62705-011-1,,AI & Machine Learning Toolkit
Sensors and Measurement Systems,River Publishers,9788770220668,,"Humble Tech Book Bundle: Electronics, Circuits, and Science"
"Sensors and Measurement Systems, Second Edition",River Publishers,9788770226073,,"Humble Tech Book Bundle: Electronics, Circuits, and Science"
Sentiment Analysis and Opinion Mining,Morgan & Claypool Publishers,978-1-60845-884-4,,AI & Machine Learning Toolkit
Serious Python,No Starch Press,9781593278786,,Humble Book Bundle: Learn You More Python
Seriously Good Software,Manning Publications,,,Code Like a Pro by Manning Publications
Serverless Development on AWS,O'Reilly,9781098141875,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Seven Concurrency Models in Seven Weeks,Pragmatic Programmers,9781937785659,,Databases and Data Management by Pragmatic
"Seven Databases in Seven Weeks, Second Edition",Pragmatic Programmers,9781680502534,,Databases and Data Management by Pragmatic
Seven More Languages in Seven Weeks,Pragmatic Bookshelf,9781941222157,,Humble Tech Book Bundle: Elixir Programming
Sew a Bag,Abrams Books,9781419762147,,"Crafting, Knitting, & More"
Sew Fantasy Toys,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Sewing 101 Revised and Updated,The Quarto Group,9781589238848,,"Crafting, Knitting, & More"
Sewing for Beginners,Naraku Brock,N/A (Self-Published),,Humble Book Bundle: The Cosplayer's Bookshelf
Sewing for Beginners 2,Naraku Brock,N/A (Self-Published),,Humble Book Bundle: The Cosplayer's Bookshelf
Sewing Knits from Fit to Finish,The Quarto Group,9781589238350,,Humble Book Bundle: The Cosplayer's Bookshelf
Sewing Machine Magic,The Quarto Group,,,Humble Book Bundle: Return of the Cosplay
Sewing Shirts with a Perfect Fit,The Quarto Group,9781589239524,,"Crafting, Knitting, & More"
Sex From Scratch (2nd edition),Microcosm,N/A (eBook Download),,Humble Book Bundle: Unf*ck the Holidays by Microcosm
Shadow of the Colossus,Boss Fight Books,978-1-940535-10-4,,Humble Book Bundle: Video Game Histories
Shakti Leadership,Berrett-Koehler,9781626564350,,Humble Leadership by Berrett-Koehler
Sharing A House With The Never-Ending Man,Stone Bridge Press,9781611720570,,Humble Book Bundle: Japanese Art and Culture
She Sheds: A Room of Your Own,The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
Sheet Pan,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
Shills Can't Cash Chips,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Shinto Meditation,Stone Bridge Press,978-1611720662,,Japanese Culture & Language
Shoulders Armor Pattern Collection,Kamui Cosplay,N/A (Self-Published),,Humble Book Bundle: The Cosplayer's Bookshelf
Shovel Knight,Boss Fight Books,978-1-940535-14-2,,Humble Book Bundle: Video Game Histories
Silent Hill 2,Boss Fight Books,978-1-940535-27-2,,Humble Book Bundle: Video Game Histories
Simple Is The New Smart,Career Press,9781632650382,,Humble Book Bundle: Career Building by Career Press
Simplify Testing with React Testing Library,Packt,9781800564459,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
Simplifying State Management in React Native,Packt,9781804613412,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
Simply Bento,The Quarto Group,9781631064937,,Humble Book Bundle: Cookbooks by Quarto
Simply Pho,The Quarto Group,9781631063701,,Humble Book Bundle: Cookbooks by Quarto
Simply Ramen,The Quarto Group,9781631061448,,Humble Book Bundle: Cookbooks by Quarto
Simply Stunning Crocheted Bags,Open Road Media,978-1446308066,,Humble Book Bundle: Amigurumi and Crochet
Singer: The Complete Photo Guide to Sewing,The Quarto Group,,,Humble Book Bundle: Return of the Cosplay
Skills of a Successful Software Engineer,Manning Publications,9781617299704,,Code Like a Pro 2024 by Manning
Slash Your Retirement Risk,Red Wheel/Weiser,978-1632651037,,Choose Your Own Career Path
Slide,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Slow Cooker: The Best Cookbook Ever with More Than 400 Easy-to-Make Recipes,Chronicle Books,Not Provided,,Creative Cooking by Open Road Media
Smaller C,O'Reilly Media,9781098100339,,Humble Tech Book Bundle: Popular Programming Languages by O'Reilly
Smart Antennas and Electromagnetic Signal Processing in Advanced Wireless Technology,River Publishers,9788770223461,,"Humble Tech Book Bundle: Electronics, Circuits, and Science"
Smart Cities,MIT Press,9780262539387,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
Smoke & Pickles,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
"Smoke & Spice, Updated and Expanded",The Quarto Group,9781558328365,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Smokin' Southern BBQ,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
Smoothies & Juices: Prevention Healing Kitchen,Penguin Random House US,9781950785070,,Humble Book Bundle: Cook Like a Pro
Snowflake Layette to Crochet,Leisure Arts,9781574866414,,Humble Craft Bundle: Cozy Afghans and More
Snuggle and Play Crochet,Open Road Media,978-1446306659,,Humble Book Bundle: Amigurumi and Crochet
So To Speak,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
So-Bright Romper Sets,Leisure Arts,9781574866575,,Humble Craft Bundle: Cozy Afghans and More
"Social Engineering: Hacking Systems, Nations, and Societies",Taylor & Francis Group,9780367313371,,Humble Tech Book Bundle: Cybersecurity and Forensics by CRC Press
Social Engineering: The Science of Human Hacking,Wiley,Not specified,,Humble Book Bundle: Cybersecurity by Wiley
Social Security 101,Simon & Schuster (Adams Media),9781440599224,,Humble Book Bundle: Knowledge 101!
Socialism 101,Simon & Schuster (Adams Media),9781507213858,,Humble Book Bundle: Knowledge 101!
Sockology,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Socks Appeal,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Soft & Cuddly,Boss Fight Books,978-1-940535-30-2,,Humble Book Bundle: Video Game Histories
Software Architecture for Busy Developers,Packt,9781801812832,,Python Master 2024
Software Architecture Metrics,O'Reilly,9781492097716,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
"Software Architecture Patterns, 2nd Edition",O'Reilly,9781098133504,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Software Architecture with C# 10 and .NET 6 – Third Edition,Packt,9781803235257,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
Software Architecture: The Hard Parts,O'Reilly,9781492086895,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Software Mistakes and Tradeoffs: How to make good programming decisions,Manning Publications,9781617299209,,Code Like a Pro 2024 by Manning
Software Quality Assurance,"Walter De Gruyter, Inc.",,,Cybersecurity & Data Science
Software Testing,Mercury Learning and Information,9781683928645,,Programming Fundamentals 2023 by Mercury
Software Testing Principles and Practices,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
Software Transparency: Supply Chain Security in an Era of a Software-Driven Society,Wiley,9781394158485,,Humble Tech Book Bundle: Cybersecurity 2023 by Wiley
Solid State Physics,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
Song of Kali,Open Road Media,9781453257326,,Humble Book Bundle: Dread & Darkness
Soup of the Day,Weldon Owen,Not Provided,,Creative Cooking by Open Road Media
Southern Makers,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Southern Smoke,The Quarto Group,9781592337965,,Humble Book Bundle: Cookbooks by Quarto
Space Nomads: Set A Course For Mars,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Spain Country Guide,Lonely Planet,,,Learn a New Language and Travel the World Bundle
Spanish Phrasebook,Lonely Planet,,,Learn a New Language and Travel the World Bundle
Speak and Read Japanese: Fun Mnemonic Devices for Remembering Japanese Words and Their Meanings,Stone Bridge Press,9781611725445,,Humble Book Bundle: Japanese Art and Culture
Spectral Feature Selection for Data Mining,Taylor & Francis,9781138112629,,Data Science Essentials
Spelunky,Boss Fight Books,978-1-940535-11-1,,Humble Book Bundle: Video Game Histories
Spiritual Places,The Quarto Group,9781781317525,,The Armchair Traveler
Spiritual Poems of Rumi (Translated by Nader Khalili),The Quarto Group,9781577152170,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Spoonflower Handbook,Abrams Books,9781617690785,,"Humble Book Bundle: Get Crafty: Knitting, Sewing & Crafting by ABRAMS"
Spring 5 Design Patterns,Packt,9781787129092,,Humble Book Bundle: Java by Packt
Spring Boot with React and AWS,Springer / Apress,978-1484274798,,Full Stack Web Development by Springer/Apress
Spring REST,Springer / Apress,978-1484208243,,Full Stack Web Development by Springer/Apress
Spring Security,Packt,9781788995344,,Humble Book Bundle: Java by Packt
Sprinkles!,Quirk Books,9781594746383,,Cooking Forking Good Food
SPSS Statistics for Data Analysis and Visualization,Wiley,9781119003717,,Data Visualization by Wiley
"SQL Antipatterns, Volume 1",Pragmatic Programmers,9781680508987,,Databases and Data Management by Pragmatic
SQL Cookbook,O'Reilly,,,Humble Book Bundle: Programming Cookbooks 2021
SQL for Data Analytics,Packt,,,Humble Tech Book Bundle: Mastering Every Database by Packt
SQL for Data Scientists: A Beginner's Guide for Building Datasets for Analysis,Wiley,9781119669364,,Data Visualization by Wiley
SQL Pocket Primer,"Walter De Gruyter, Inc.",,,Cybersecurity & Data Science
SQL Query Design Patterns and Best Practices,Packt,,,Humble Tech Book Bundle: Mastering Every Database by Packt
SQL Server 2019 Administrator's Guide,Packt,,,Humble Tech Book Bundle: Mastering Every Database by Packt
SQL Server Query Tuning and Optimization,Packt,,,Humble Tech Book Bundle: Mastering Every Database by Packt
Square Foot Gardening Answer Book: New Information from the Creator of Square Foot Gardening - the Revolutionary Method,The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
Square Foot Gardening High-Value Veggies: Homegrown Produce Ranked by Value,The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
Square Foot Gardening: Growing Perfect Vegetables: A Visual Guide to Raising and Harvesting Prime Garden Produce,The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
SRE with Java Microservices,O'Reilly,9781492050766,,Humble Tech Book Bundle: Cloud Infrastructure & Operations by O'Reilly
Star Wars: Knights of the Old Republic,Boss Fight Books,978-1-940535-28-9,,Humble Book Bundle: Video Game Histories
Starting & Saving Seeds,The Quarto Group,9781589239272,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Starting a Business All-in-One For Dummies,Wiley,9781119565215,,Humble Book Bundle: DIY Home & Hobby by Wiley
Statistical Computing in C++ and R,Taylor & Francis,9781420066500,,Data Science Essentials
Statistics 101,Simon & Schuster (Adams Media),9781440599774,,Humble Book Bundle: Knowledge 101!
Statistics for Machine Learning,BPB Publications,9789389423532,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Statistics is Easy: Case Studies on Real Scientific Datasets,Morgan & Claypool Publishers,978-1627059732,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
Statistics is Easy! 2nd Edition,Morgan & Claypool Publishers,978-1627054614,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
Stealing The Corner Office,Red Wheel/Weiser,978-1601633200,,Choose Your Own Career Path
Steampunk & Cosplay Fashion Design & Illustration,The Quarto Group,,,Humble Book Bundle: Return of the Cosplay
Step-by-Step Projects for Self-Sufficiency: Grow Edibles * Raise Animals * Live Off the Grid * DIY,The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
Stephen King Sampler,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Stitch 50 Birds,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Stitch 50 Cats,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Stitch Encyclopedia: Crochet,Chronicle Books,978-1452140131,,Humble Book Bundle: Amigurumi and Crochet
Stitch Encyclopedia: Knitting,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Stock Market 101,Simon & Schuster (Adams Media),9781440595219,,Humble Book Bundle: Knowledge 101!
Stop Guessing: The 9 Behaviors of Great Problem Solvers,Berrett-Koehler,9781626569867,,Humble Book Bundle: Debug Your Life
"Stop, Think, Go, Do",The Quarto Group,9781592537662,,Humble Book Bundle: The Graphic Designer's Toolkit by Quarto
Storm of Secrets: A Haunted Bluffs Mystery,Crooked Lane Books,9781643851754,,Humble Book Bundle: Murder by the Book from Crooked Lane
Storybook Toys,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
"Straw Bale Gardens Complete, Updated Edition: Breakthrough Method for Growing Vegetables Anywhere, Earlier and with No Weeding",The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
"Straw Bale Solutions: Creative Tips for Growing Vegetables in Bales at Home, in Community Gardens, and around the World",The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
Streaming Systems,O'Reilly Media,9781491983874,,Humble Book Bundle: Data & AI by O'Reilly
Street Coder [MEAP],Manning Publications,,,Code Like a Pro by Manning Publications
Street Coder: The rules to break and how to break them,Manning Publications,9781617298370,,Code Like a Pro 2024 by Manning
Strengthening Deep Neural Networks,O'Reilly Media,9781492044956,,Humble Book Bundle: Data & AI by O'Reilly
Stretching for Beginners,Callisto Publishing,9781641526432,,Humble Book Bundle: Health & Wellness
Structural Steel Design Third Edition,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Stylish F# 6,Springer / Apress,9781484272077,,Mastering Microsoft Development
Su Doku For Dummies,Wiley,9780470018927,,Games & Puzzles by Wiley
Successful Serging,The Quarto Group,,,Humble Book Bundle: Return of the Cosplay
"Sudoku For Dummies, Volume 2",Wiley,9780470116814,,Games & Puzzles by Wiley
"Sudoku For Dummies, Volume 3",Wiley,9780470140222,,Games & Puzzles by Wiley
Sugar Shock,Penguin Random House US / Hearst Home,9781950785001,,Humble Book Bundle: Cook Like a Pro
Sumi-e Painting: Master the meditative art of Japanese brush painting,The Quarto Group,9781631592874,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Summer Cocktails,Quirk Books,9781594747861,,Cooking Forking Good Food
Sunday Casseroles,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
Super Mario Bros. 2,Boss Fight Books,978-1-940535-05-0,,Humble Book Bundle: Video Game Histories
Super Mario Bros. 3,Boss Fight Books,978-1-940535-13-5,,Humble Book Bundle: Video Game Histories
"Super Power, Spoony Bards, and Silverware: The Super Nintendo Entertainment System",Penguin Random House US,9780262036566,,Inside Gaming by MIT Press
Supercharge with Superfoods,Simon & Schuster / Adams Media,9781440594381,,Life Hacks by Adams Media
Supersize Crochet,Open Road Media,978-1446372579,,Humble Book Bundle: Amigurumi and Crochet
Survival Hacks,Simon & Schuster / Adams Media,9781440593346,,Life Hacks by Adams Media
Sustainable Gardening,The Quarto Group,9780760368152,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Sustainable Travel,The Quarto Group,9780711256330,,The Armchair Traveler
Svelte: A Beginner's Guide,SitePoint,9781098129569,,Humble Tech Book Bundle: Front End Web Dev by SitePoint
Swan Song,Open Road Media,9781480439511,,Humble Book Bundle: Dread & Darkness
Sweden [SWE],Lonely Planet,,,Learn a New Language and Travel the World Bundle
Sweet Paper Crafts,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
"Sweet Shawlettes: 25 Irresistible Patterns for Knitting Cowls, Capelets, and More",Abrams Books,9781600854002,,Humble Book Bundle: Knit Happens!
Swift Cookbook,Packt Publishing,9781839211195,,"iOS, Android, and Flutter: Mobile Development"
"Swift Protocol-Oriented Programming, 4th Edition",Packt,9781789340914,,iOS & Android Mobile Development by Packt
SwiftUI Cookbook,Packt Publishing,9781805121732,,"iOS, Android, and Flutter: Mobile Development"
Switzerland [SWI],Lonely Planet,,,Learn a New Language and Travel the World Bundle
Synesthesia,MIT Press,9780262535076,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
Tableau Prep Cookbook,Packt,,,Business Intelligence and Data Analysis with Tableau and Power BI
"Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software, 2nd Edition",Wiley,9781119001195,,Data Visualization by Wiley
Tailoring,The Quarto Group,9781589236097,,"Crafting, Knitting, & More"
Tailwind CSS,SitePoint,9781098140991,,Humble Tech Book Bundle: Front End Web Dev by SitePoint
Take Care Of Your Type,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Take Control Of Your Anxiety,Red Wheel/Weiser,978-1632651112,,Choose Your Own Career Path
Tasty Adventures of Rose Honey: Chocolate Chip Cookies,Mango Media,9781642506211,,"Humble Book Bundle: Eat, Drink & Be Merry"
Teach Your Kids to Code,No Starch Press,9781593276140,,Humble Book Bundle: Learn You More Python
Tech Trends of the 4th Industrial Revolution,"Walter De Gruyter, Inc.",,,Cybersecurity & Data Science
Technology Strategy Patterns,O'Reilly,9781492053422,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Tenryuji,Stone Bridge Press,9781611725063,,Humble Book Bundle: Japanese Art and Culture
Tensor Analysis for Engineers Second Edition,"Walter De Gruyter, Inc.",[Not on page],,STEM Productivity Library by Mercury
"Tensor Analysis for Engineers, Second Edition","Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
TensorFlow 2 Pocket Primer,"Walter De Gruyter, Inc. / Mercury",9781683924609,,Data Science & Data Analytics
