h2,h2-title,p
Python for Cybersecurity: Using Python for Cyber Offense and Defense,Python for Cybersecurity: Using Python for Cyber Offense and Defense,Wiley
Python for Excel,Python for Excel,O'Reilly
Python for Finance Cookbook,Python for Finance Cookbook,Packt
Python for Geeks,Python for Geeks,Packt
Python for Kids,Python for Kids,No Starch Press
Python GUI programming with Tkinter,Python GUI programming with Tkinter,Packt
Python How-To: 63 techniques to improve your Python code,Python How-To: 63 techniques to improve your Python code,Manning Publications
Python Image Processing Cookbook,Python Image Processing Cookbook,Packt
Python Machine Learning,Python Machine Learning,Wiley
Python Natural Language Processing Cookbook,Python Natural Language Processing Cookbook,Packt
Python Network Programming Techniques,Python Network Programming Techniques,Packt
Python Object-Oriented Programming 4th Edition,Python Object-Oriented Programming 4th Edition,Packt
"Python One-Liners: Write Concise, Eloquent Python Like a Professional","Python One-Liners: Write Concise, Eloquent Python Like a Professional",No Starch Press
Python Playground: Geeky Projects for the Curious Programmer,Python Playground: Geeky Projects for the Curious Programmer,No Starch Press
Python Programming,Python Programming,"Walter De Gruyter, Inc."
Python Real World Projects,Python Real World Projects,Packt
Python Video Tutorials (NumPy and Pandas),Python Video Tutorials (NumPy and Pandas),"Walter De Gruyter, Inc."
The Python Workshop,The Python Workshop,Packt
Pythonic Programming,Pythonic Programming,Pragmatic Programmers
Quantum Computer Systems: Research for Noisy Intermediate-Scale Quantum Computers,Quantum Computer Systems: Research for Noisy Intermediate-Scale Quantum Computers,Morgan & Claypool Publishers
Quantum Computing in Action,Quantum Computing in Action,Manning Publications
Quantum Computing in Practice with Qiskit and IBM Quantum Experience,Quantum Computing in Practice with Qiskit and IBM Quantum Experience,Packt
Quantum Entanglement,Quantum Entanglement,Penguin Random House US
Quantum Mechanics,Quantum Mechanics,"Walter De Gruyter, Inc."
Quarantine Life From Cholera To Covid-19,Quarantine Life From Cholera To Covid-19,Simon & Schuster
Quarry,Quarry,Titan Publishing Group
Quick and Easy Crochet,Quick and Easy Crochet,Open Road Media
Quick & Easy Korean Cooking,Quick & Easy Korean Cooking,Chronicle Books
Quick & Simple Baking for Fall,Quick & Simple Baking for Fall,Hearst Specials
Quick & Simple Cooking for Two,Quick & Simple Cooking for Two,Penguin Random House US
Quick & Simple One Pan Meals,Quick & Simple One Pan Meals,Penguin Random House US
Quick & Simple One-Pot Meals,Quick & Simple One-Pot Meals,Hearst Specials
The Quick Python Book,The Quick Python Book,Manning Publications
Quick Start Guide to Large Language Models,Quick Start Guide to Large Language Models,Pearson
Quiet London,Quiet London,The Quarto Group
"R Cookbook, 2E","R Cookbook, 2E",O'Reilly
"R Cookbook, 2nd Edition","R Cookbook, 2nd Edition",O'Reilly
R Graphics Cookbook,R Graphics Cookbook,O'Reilly
"R in Action, 3rd ed.","R in Action, 3rd ed.",Manning Publications
R Primer,R Primer,Taylor & Francis Group
R Student Companion,R Student Companion,Taylor & Francis Group
R Visualizations: Derive Meaning from Data,R Visualizations: Derive Meaning from Data,Taylor & Francis Group
Racing the Beam,Racing the Beam,Penguin Random House US
Racket Programming the Fun Way,Racket Programming the Fun Way,No Starch Press
Radar Systems and Radio Aids to Navigation,Radar Systems and Radio Aids to Navigation,"Walter De Gruyter, Inc."
Rad-hard Semiconductor Memories,Rad-hard Semiconductor Memories,River Publishers
Radical Sewing,Radical Sewing,Microcosm
RAG-Driven Generative AI,RAG-Driven Generative AI,Packt
"Raised Bed Revolution: Build It, Fill It, Plant It ... Garden Anywhere!","Raised Bed Revolution: Build It, Fill It, Plant It ... Garden Anywhere!",The Quarto Group
Raising Goats For Dummies,Raising Goats For Dummies,Wiley
"Raspberry Pi Cookbook, 3E","Raspberry Pi Cookbook, 3E",O'Reilly
"Raspberry Pi Cookbook, 3rd Edition","Raspberry Pi Cookbook, 3rd Edition",O'Reilly
Raspberry Pi For Dummies,Raspberry Pi For Dummies,Wiley
Raspberry Pi Projects,Raspberry Pi Projects,Wiley
Raspberry Pi Projects For Dummies,Raspberry Pi Projects For Dummies,Wiley
Raspberry Pi User Guide,Raspberry Pi User Guide,Wiley
Raw Food,Raw Food,Skyhorse Publishing
Ray Tracing from the Ground Up,Ray Tracing from the Ground Up,Taylor & Francis Group
React 17 Design Patterns and Best Practices,React 17 Design Patterns and Best Practices,Packt
React and Libraries,React and Libraries,Springer
React and React Native,React and React Native,Packt
React Application Architecture for Production,React Application Architecture for Production,Packt
React Cookbook,React Cookbook,O'Reilly
React Key Concepts,React Key Concepts,Packt
React Native Blueprints,React Native Blueprints,Packt
"React Native Cookbook, 2nd Edition","React Native Cookbook, 2nd Edition",Packt
React Native in Action,React Native in Action,Manning Publications
React Projects,React Projects,Packt
React Quickly,React Quickly,Manning Publications
"React: Tools & Skills, 2nd Edition","React: Tools & Skills, 2nd Edition",SitePoint
The React Workshop,The React Workshop,Packt
Reactive Patterns with RxJS for Angular,Reactive Patterns with RxJS for Angular,Packt
Real Estate Investing 101,Real Estate Investing 101,Simon & Schuster
Real-Time Embedded Components and Systems With Linux and RTOS,Real-Time Embedded Components and Systems With Linux and RTOS,"Walter De Gruyter, Inc."
Real-Time Phoenix,Real-Time Phoenix,Pragmatic Programmers
Real-Time Twilio and Flybase,Real-Time Twilio and Flybase,Springer
Real-World Cryptography,Real-World Cryptography,Manning Publications
Real-World Implementation of C# Design Patterns,Real-World Implementation of C# Design Patterns,Packt
Real-World Python: A Hacker's Guide to Solving Problems with Code,Real-World Python: A Hacker's Guide to Solving Problems with Code,No Starch Press
Real-World Software Development,Real-World Software Development,O'Reilly
Rebecca Ringquist's Embroidery Workshops: A Bend-the-Rules Primer,Rebecca Ringquist's Embroidery Workshops: A Bend-the-Rules Primer,Abrams Books
Recipes from Around Our Family Table,Recipes from Around Our Family Table,Open Road Media
Reclaim Your Life,Reclaim Your Life,Callisto Publishing
Red Dead Redemption,Red Dead Redemption,Boss Fight Books
Red Screen by Stephen King,Red Screen by Stephen King,Stephen King
Red Sonja: Petitioning the Queen,Red Sonja: Petitioning the Queen,Dynamite Entertainment
Redis Stack for Application Modernization,Redis Stack for Application Modernization,Packt
Refactoring with C#,Refactoring with C#,Packt
Regular Expression Puzzles and AI Coding Assistants,Regular Expression Puzzles and AI Coding Assistants,Manning Publications
Regular Expressions Cookbook,Regular Expressions Cookbook,O'Reilly
"Regular Expressions Cookbook, 2E","Regular Expressions Cookbook, 2E",O'Reilly
Regular Expressions Pocket Primer,Regular Expressions Pocket Primer,"Walter De Gruyter, Inc."
Reinventing Yourself,Reinventing Yourself,Career Press
Relax: Reference to Go,Relax: Reference to Go,Chronicle Books
Reliable JavaScript: How to Code Safely in the World's Most Dangerous Language,Reliable JavaScript: How to Code Safely in the World's Most Dangerous Language,Wiley
Religion 101,Religion 101,Simon & Schuster
Repurposed Library,Repurposed Library,Abrams Books
"Rescue, Restore, Redecorate: Amy Howard's Guide to Refinishing Furniture and Accessories","Rescue, Restore, Redecorate: Amy Howard's Guide to Refinishing Furniture and Accessories",Abrams Books
Resident Evil,Resident Evil,Boss Fight Books
Responsible AI,Responsible AI,Pearson
Responsible Data Science,Responsible Data Science,Wiley
The Restaurant Diet: How to Eat Out Every Night and Still Lose Weight,The Restaurant Diet: How to Eat Out Every Night and Still Lose Weight,Mango Media
RESTful Web API Patterns & Practices Cookbook,RESTful Web API Patterns & Practices Cookbook,O'Reilly
Restorative Yoga for Beginners,Restorative Yoga for Beginners,Callisto Publishing
Rethink: The Way You Live,Rethink: The Way You Live,Chronicle Books
Retirement 101,Retirement 101,Simon & Schuster
Retro Gaming with Raspberry Pi,Retro Gaming with Raspberry Pi,Raspberry Pi Press
Revolution in the Valley,Revolution in the Valley,O'Reilly
Road Trip Survival Guide,Road Trip Survival Guide,Simon & Schuster
Robbie's Wife,Robbie's Wife,Titan Publishing Group
Robot Ethics,Robot Ethics,Penguin Random House US
Robust Python,Robust Python,O'Reilly
Romancing the Stove: Celebrated Recipes and Delicious Fun for Every Kitchen Goddess,Romancing the Stove: Celebrated Recipes and Delicious Fun for Every Kitchen Goddess,Mango Media
The Rotisserie Grilling Cookbook,The Rotisserie Grilling Cookbook,The Quarto Group
Ruby Under a Microscope,Ruby Under a Microscope,No Starch Press
Ruhlman's Twenty,Ruhlman's Twenty,Chronicle Books
Running Your First Marathon,Running Your First Marathon,Callisto Publishing
Rust Brain Teasers,Rust Brain Teasers,Pragmatic Programmers
Rust for Rustaceans,Rust for Rustaceans,No Starch Press
Rust in Action,Rust in Action,Manning Publications
The Rust Programming Language,The Rust Programming Language,No Starch Press
"Rust Servers, Services, and Apps","Rust Servers, Services, and Apps",Manning Publications
Rustic Mexican,Rustic Mexican,Insight Editions
Rustic Spanish,Rustic Spanish,Open Road Media
RxJava for Android,RxJava for Android,Manning Publications
Ryuko Volume 1,Ryuko Volume 1,Titan Publishing Group
Ryuko Volume 2,Ryuko Volume 2,Titan Publishing Group
"Sake Confidential : A Beyond-the-Basics Guide to Understanding, Tasting, Selection, and Enjoyment","Sake Confidential : A Beyond-the-Basics Guide to Understanding, Tasting, Selection, and Enjoyment",Stone Bridge Press
Sales 101,Sales 101,Simon & Schuster
Sales & Pitch Letters for Busy People,Sales & Pitch Letters for Busy People,Career Press
Sally's Baking Addiction,Sally's Baking Addiction,The Quarto Group
Sally's Candy Addiction,Sally's Candy Addiction,The Quarto Group
Sally's Cookie Addiction,Sally's Cookie Addiction,The Quarto Group
Salvage Chef Cookbook,Salvage Chef Cookbook,Skyhorse Publishing
SAP Transaction Codes,SAP Transaction Codes,"Walter De Gruyter, Inc."
Sausage Making,Sausage Making,Chronicle Books
Saveur: The New Classics Cookbook,Saveur: The New Classics Cookbook,Open Road Media
Saveur The New Comfort Food,Saveur The New Comfort Food,Chronicle Books
Science and Computing with Raspberry Pi,Science and Computing with Raspberry Pi,Morgan & Claypool Publishers
Science Fiction Prototyping: Designing the Future with Science Fiction,Science Fiction Prototyping: Designing the Future with Science Fiction,Morgan & Claypool Publishers
Science in the Arena: Explanations and Analyses of Performances and Phenomena in Sports,Science in the Arena: Explanations and Analyses of Performances and Phenomena in Sports,Morgan & Claypool Publishers
Science of Serial Killers,Science of Serial Killers,Skyhorse Publishing
Scientific Computing with Python,Scientific Computing with Python,Packt
Screen-Free Fun,Screen-Free Fun,Simon & Schuster
Search for Anne Perry,Search for Anne Perry,Skyhorse Publishing
Search For Why,Search For Why,Simon & Schuster
"Season: Big Flavors, Beautiful Food","Season: Big Flavors, Beautiful Food",Chronicle Books
The Secret Joy of Hygge,The Secret Joy of Hygge,Callisto Publishing
Secret Key Cryptography,Secret Key Cryptography,Manning Publications
The Secret Life of Programs,The Secret Life of Programs,No Starch Press
"Secrets and Lies: Digital Security in a Networked World, 15th Anniversary Edition","Secrets and Lies: Digital Security in a Networked World, 15th Anniversary Edition",Wiley
Secrets of a Cyber Security Architect,Secrets of a Cyber Security Architect,Taylor & Francis Group
Secrets Of Power Negotiating,Secrets Of Power Negotiating,Career Press
Secrets Of Power Salary Negotiating,Secrets Of Power Salary Negotiating,Career Press
"Secrets of the JavaScript Ninja, Second Edition","Secrets of the JavaScript Ninja, Second Edition",Manning Publications
Secure and Smart Internet of Things (IoT),Secure and Smart Internet of Things (IoT),River Publishers
Security and Microservice Architecture on AWS,Security and Microservice Architecture on AWS,O'Reilly
The Security Culture Playbook: An Executive Guide To Reducing Risk and Developing Your Human Defense Layer,The Security Culture Playbook: An Executive Guide To Reducing Risk and Developing Your Human Defense Layer,Wiley
Security without Obscurity: Frequently Asked Questions (FAQ),Security without Obscurity: Frequently Asked Questions (FAQ),Taylor & Francis Group
"sed & awk, 2nd Edition","sed & awk, 2nd Edition",O'Reilly
Seeking Slow: Reclaim Moments of Calm in Your Day,Seeking Slow: Reclaim Moments of Calm in Your Day,The Quarto Group
Seeking SRE,Seeking SRE,O'Reilly
Select Ideas in Partial Differential Equations,Select Ideas in Partial Differential Equations,Morgan & Claypool Publishers
"Selected Topics in Intelligent Chips with Emerging Devices, Circuits and Systems","Selected Topics in Intelligent Chips with Emerging Devices, Circuits and Systems",River Publishers
The Self-Taught Cloud Computing Engineer,The Self-Taught Cloud Computing Engineer,Packt
Semi-Supervised Learning and Domain Adaptation in Natural Language Processing,Semi-Supervised Learning and Domain Adaptation in Natural Language Processing,Morgan & Claypool Publishers
Sensors and Measurement Systems,Sensors and Measurement Systems,River Publishers
Sentiment Analysis and Opinion Mining,Sentiment Analysis and Opinion Mining,Morgan & Claypool Publishers
Serenity Passport: A world tour of peaceful living in 30 words,Serenity Passport: A world tour of peaceful living in 30 words,The Quarto Group
"The Serious Business of Small Talk: Becoming Fluent, Comfortable, and Charming","The Serious Business of Small Talk: Becoming Fluent, Comfortable, and Charming",Berrett Koehler
Serious Python,Serious Python,No Starch Press
Seriously Good Software,Seriously Good Software,Manning Publications
Serverless Architectures with Kubernetes,Serverless Architectures with Kubernetes,Packt
Serverless Development on AWS,Serverless Development on AWS,O'Reilly
Seven Concurrency Models in Seven Weeks,Seven Concurrency Models in Seven Weeks,Pragmatic Programmers
"Seven Databases in Seven Weeks, Second Edition","Seven Databases in Seven Weeks, Second Edition",Pragmatic Programmers
Seven More Languages in Seven Weeks,Seven More Languages in Seven Weeks,Pragmatic Programmers
Sew a Bag,Sew a Bag,Abrams Books
Sew Fantasy Toys,Sew Fantasy Toys,Open Road Media
Sewing 101 Revised and Updated,Sewing 101 Revised and Updated,The Quarto Group
Sewing for Beginners,Sewing for Beginners,Naraku Brock
Sewing for Beginners 2,Sewing for Beginners 2,Naraku Brock
Sewing Knits from Fit to Finish,Sewing Knits from Fit to Finish,The Quarto Group
Sewing Machine Magic,Sewing Machine Magic,The Quarto Group
Sewing Shirts with a Perfect Fit,Sewing Shirts with a Perfect Fit,The Quarto Group
Sex From Scratch (2nd edition),Sex From Scratch (2nd edition),Microcosm
Shadow of the Colossus,Shadow of the Colossus,Boss Fight Books
Shakti Leadership,Shakti Leadership,Berrett Koehler
The Shape of Content: Creative Writing in Mathematics and Science,The Shape of Content: Creative Writing in Mathematics and Science,Taylor & Francis Group
"Sharing A House With The Never-
 Ending Man","Sharing A House With The Never-
 Ending Man",Stone Bridge Press
She Sheds: A Room of Your Own,She Sheds: A Room of Your Own,The Quarto Group
Sheet Pan,Sheet Pan,Open Road Media
The Shift: How Seeing People as People Changes Everything,The Shift: How Seeing People as People Changes Everything,Berrett Koehler
Shills Can't Cash Chips,Shills Can't Cash Chips,Titan Publishing Group
Shinto Meditation,Shinto Meditation,Stone Bridge Press
Shoulders Armor Pattern Collection,Shoulders Armor Pattern Collection,Kamui Cosplay
Shovel Knight,Shovel Knight,Boss Fight Books
Silent Hill 2,Silent Hill 2,Boss Fight Books
The Simple Book of Not-So-Simple Puzzles,The Simple Book of Not-So-Simple Puzzles,Taylor & Francis Group
Simple Is The New Smart,Simple Is The New Smart,Career Press
Simplify Testing with React Testing Library,Simplify Testing with React Testing Library,Packt
Simplifying State Management in React Native,Simplifying State Management in React Native,Packt
Simply Bento,Simply Bento,The Quarto Group
Simply Pho,Simply Pho,The Quarto Group
Simply Ramen,Simply Ramen,The Quarto Group
Simply Stunning Crocheted Bags,Simply Stunning Crocheted Bags,Open Road Media
Singer: The Complete Photo Guide to Sewing,Singer: The Complete Photo Guide to Sewing,The Quarto Group
The Site Reliability Workbook,The Site Reliability Workbook,O'Reilly
Skills of a Successful Software Engineer,Skills of a Successful Software Engineer,Manning Publications
Slash Your Retirement Risk,Slash Your Retirement Risk,Red Wheel/Weiser
The Sleep Workbook,The Sleep Workbook,Callisto Publishing
Slide,Slide,Titan Publishing Group
Slow Cooker: The Best Cookbook Ever with More Than 400 Easy-to-Make Recipes,Slow Cooker: The Best Cookbook Ever with More Than 400 Easy-to-Make Recipes,Chronicle Books
Smaller C,Smaller C,O'Reilly
Smart Antennas and Electromagnetic Signal Processing in Advanced Wireless Technology,Smart Antennas and Electromagnetic Signal Processing in Advanced Wireless Technology,River Publishers
Smart Cities,Smart Cities,Penguin Random House US
Smoke & Pickles,Smoke & Pickles,Open Road Media
"Smoke & Spice, Updated and Expanded","Smoke & Spice, Updated and Expanded",The Quarto Group
The Smoke Shop's Backyard BBQ,The Smoke Shop's Backyard BBQ,The Quarto Group
Smokin' Southern BBQ,Smokin' Southern BBQ,Callisto Publishing
Smoothies & Juices: Prevention Healing Kitchen,Smoothies & Juices: Prevention Healing Kitchen,Penguin Random House US
Snuggle and Play Crochet,Snuggle and Play Crochet,Open Road Media
So To Speak,So To Speak,Simon & Schuster
"Social Engineering: Hacking Systems, Nations, and Societies","Social Engineering: Hacking Systems, Nations, and Societies",Taylor & Francis Group
Social Engineering: The Science of Human Hacking,Social Engineering: The Science of Human Hacking,Wiley
Social Security 101,Social Security 101,Simon & Schuster
Socialism 101,Socialism 101,Simon & Schuster
Sockology,Sockology,Open Road Media
Socks Appeal,Socks Appeal,Open Road Media
Soft & Cuddly,Soft & Cuddly,Boss Fight Books
The Software Architect Elevator,The Software Architect Elevator,O'Reilly
Software Architecture for Busy Developers,Software Architecture for Busy Developers,Packt
Software Architecture Metrics,Software Architecture Metrics,O'Reilly
"Software Architecture Patterns, 2nd Edition","Software Architecture Patterns, 2nd Edition",O'Reilly
Software Architecture: The Hard Parts,Software Architecture: The Hard Parts,O'Reilly
Software Architecture with C# 10 and .NET 6 – Third Edition,Software Architecture with C# 10 and .NET 6 – Third Edition,Packt
Software Mistakes and Tradeoffs: How to make good programming decisions,Software Mistakes and Tradeoffs: How to make good programming decisions,Manning Publications
Software Quality Assurance,Software Quality Assurance,"Walter De Gruyter, Inc."
Software Testing,Software Testing,"Walter De Gruyter, Inc."
Software Transparency: Supply Chain Security in an Era of a Software-Driven Society,Software Transparency: Supply Chain Security in an Era of a Software-Driven Society,Wiley
Solid State Physics,Solid State Physics,"Walter De Gruyter, Inc."
Soup of the Day,Soup of the Day,Weldon Owen
The Southern Comfort Food Diabetes Cookbook,The Southern Comfort Food Diabetes Cookbook,Callisto Publishing
The Southern Keto Cookbook,The Southern Keto Cookbook,Callisto Publishing
Southern Makers,Southern Makers,Chronicle Books
Southern Smoke,Southern Smoke,The Quarto Group
Space Nomads: Set A Course For Mars,Space Nomads: Set A Course For Mars,Simon & Schuster
Spain Country Guide,Spain Country Guide,Lonely Planet
Spanish Phrasebook,Spanish Phrasebook,Lonely Planet
Speak and Read Japanese: Fun Mnemonic Devices for Remembering Japanese Words and Their Meanings,Speak and Read Japanese: Fun Mnemonic Devices for Remembering Japanese Words and Their Meanings,Stone Bridge Press
The Special Theory of Relativity,The Special Theory of Relativity,"Walter De Gruyter, Inc."
Spectral Feature Selection for Data Mining,Spectral Feature Selection for Data Mining,Taylor & Francis Group
Spelunky,Spelunky,Boss Fight Books
The Spiralizer Cookbook,The Spiralizer Cookbook,Insight Editions
Spiritual Places,Spiritual Places,The Quarto Group
Spiritual Poems of Rumi: Translated by Nader Khalili,Spiritual Poems of Rumi: Translated by Nader Khalili,The Quarto Group
Spoonflower Handbook,Spoonflower Handbook,Abrams Books
Spring 5 Design Patterns,Spring 5 Design Patterns,Packt
Spring Boot with React and AWS,Spring Boot with React and AWS,Springer
Spring REST,Spring REST,Springer
Spring Security,Spring Security,Packt
Sprinkles!,Sprinkles!,Quirk Books
SPSS Statistics for Data Analysis and Visualization,SPSS Statistics for Data Analysis and Visualization,Wiley
"SQL Antipatterns, Volume 1","SQL Antipatterns, Volume 1",Pragmatic Programmers
SQL Cookbook,SQL Cookbook,O'Reilly
SQL for Data Analytics,SQL for Data Analytics,Packt
SQL for Data Scientists: A Beginner's Guide for Building Datasets for Analysis,SQL for Data Scientists: A Beginner's Guide for Building Datasets for Analysis,Wiley
SQL Pocket Primer,SQL Pocket Primer,"Walter De Gruyter, Inc."
SQL Query Design Patterns and Best Practices,SQL Query Design Patterns and Best Practices,Packt
SQL Server 2019 Administrator's Guide,SQL Server 2019 Administrator's Guide,Packt
SQL Server Query Tuning and Optimization,SQL Server Query Tuning and Optimization,Packt
Square Foot Gardening Answer Book: New Information from the Creator of Square Foot Gardening - the Revolutionary Method,Square Foot Gardening Answer Book: New Information from the Creator of Square Foot Gardening - the Revolutionary Method,The Quarto Group
Square Foot Gardening: Growing Perfect Vegetables: A Visual Guide to Raising and Harvesting Prime Garden Produce,Square Foot Gardening: Growing Perfect Vegetables: A Visual Guide to Raising and Harvesting Prime Garden Produce,The Quarto Group
Square Foot Gardening High-Value Veggies: Homegrown Produce Ranked by Value,Square Foot Gardening High-Value Veggies: Homegrown Produce Ranked by Value,The Quarto Group
SRE with Java Microservices,SRE with Java Microservices,O'Reilly
Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,Boss Fight Books
Starting a Business All-in-One For Dummies,Starting a Business All-in-One For Dummies,Wiley
Starting & Saving Seeds,Starting & Saving Seeds,The Quarto Group
Statistical Computing in C++ and R,Statistical Computing in C++ and R,Taylor & Francis Group
Statistics 101,Statistics 101,Simon & Schuster
The Statistics and Calculus with Python Workshop,The Statistics and Calculus with Python Workshop,Packt
Statistics for Machine Learning,Statistics for Machine Learning,Richdale Ventures
Statistics is Easy! 2nd Edition,Statistics is Easy! 2nd Edition,Morgan & Claypool Publishers
Statistics is Easy: Case Studies on Real Scientific Datasets,Statistics is Easy: Case Studies on Real Scientific Datasets,Morgan & Claypool Publishers
Stealing The Corner Office,Stealing The Corner Office,Red Wheel/Weiser
Steampunk & Cosplay Fashion Design & Illustration,Steampunk & Cosplay Fashion Design & Illustration,The Quarto Group
Step-by-Step Projects for Self-Sufficiency: Grow Edibles * Raise Animals * Live Off the Grid * DIY,Step-by-Step Projects for Self-Sufficiency: Grow Edibles * Raise Animals * Live Off the Grid * DIY,The Quarto Group
Stephen King Sampler,Stephen King Sampler,Titan Publishing Group
Stitch 50 Birds,Stitch 50 Birds,Open Road Media
Stitch 50 Cats,Stitch 50 Cats,Open Road Media
Stitch Encyclopedia: Crochet,Stitch Encyclopedia: Crochet,Chronicle Books
Stitch Encyclopedia: Knitting,Stitch Encyclopedia: Knitting,Chronicle Books
Stock Market 101,Stock Market 101,Simon & Schuster
Stop Guessing: The 9 Behaviors of Great Problem Solvers,Stop Guessing: The 9 Behaviors of Great Problem Solvers,Berrett Koehler
"Stop, Think, Go, Do","Stop, Think, Go, Do",The Quarto Group
Storm of Secrets: A Haunted Bluffs Mystery,Storm of Secrets: A Haunted Bluffs Mystery,Penguin Random House US
Storybook Toys,Storybook Toys,Open Road Media
"Straw Bale Gardens Complete, Updated Edition: Breakthrough Method for Growing Vegetables Anywhere, Earlier and with No Weeding","Straw Bale Gardens Complete, Updated Edition: Breakthrough Method for Growing Vegetables Anywhere, Earlier and with No Weeding",The Quarto Group
"Straw Bale Solutions: Creative Tips for Growing Vegetables in Bales at Home, in Community Gardens, and around the World","Straw Bale Solutions: Creative Tips for Growing Vegetables in Bales at Home, in Community Gardens, and around the World",The Quarto Group
Streaming Systems,Streaming Systems,O'Reilly
Street Coder [MEAP],Street Coder [MEAP],Manning Publications
Street Coder: The rules to break and how to break them,Street Coder: The rules to break and how to break them,Manning Publications
Strengthening Deep Neural Networks,Strengthening Deep Neural Networks,O'Reilly
The Stress Management Workbook,The Stress Management Workbook,Callisto Publishing
Stretching for Beginners,Stretching for Beginners,Callisto Publishing
Structural Steel Design Third Edition,Structural Steel Design Third Edition,"Walter De Gruyter, Inc."
Stylish F# 6,Stylish F# 6,Springer
Su Doku For Dummies,Su Doku For Dummies,Wiley
Successful Serging,Successful Serging,The Quarto Group
"Sudoku For Dummies, Volume 2","Sudoku For Dummies, Volume 2",Wiley
"Sudoku For Dummies, Volume 3","Sudoku For Dummies, Volume 3",Wiley
Sugar Shock,Sugar Shock,Penguin Random House US
Sumi-e Painting: Master the meditative art of Japanese brush painting,Sumi-e Painting: Master the meditative art of Japanese brush painting,The Quarto Group
Summer Cocktails,Summer Cocktails,Quirk Books
Sunday Casseroles,Sunday Casseroles,Open Road Media
Super Mario Bros. 2,Super Mario Bros. 2,Boss Fight Books
Super Mario Bros. 3,Super Mario Bros. 3,Boss Fight Books
"Super Power, Spoony Bards, and Silverware: The Super Nintendo Entertainment System","Super Power, Spoony Bards, and Silverware: The Super Nintendo Entertainment System",Penguin Random House US
Supercharge with Superfoods,Supercharge with Superfoods,Simon & Schuster
Supersize Crochet,Supersize Crochet,Open Road Media
Survival Hacks,Survival Hacks,Simon & Schuster
Sustainable Gardening,Sustainable Gardening,The Quarto Group
Sustainable Travel,Sustainable Travel,The Quarto Group
Svelte: A Beginner's Guide,Svelte: A Beginner's Guide,SitePoint
Sweden [SWE],Sweden [SWE],Lonely Planet
Sweet Paper Crafts,Sweet Paper Crafts,Chronicle Books
Swift Cookbook,Swift Cookbook,Packt
"Swift Protocol-Oriented Programming, 4th Edition","Swift Protocol-Oriented Programming, 4th Edition",Packt
SwiftUI Cookbook,SwiftUI Cookbook,Packt
Switzerland [SWI],Switzerland [SWI],Lonely Planet
Synesthesia,Synesthesia,Penguin Random House US
Tableau Prep Cookbook,Tableau Prep Cookbook,Packt
The Tableau Workshop,The Tableau Workshop,Packt
"Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software, 2nd Edition","Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software, 2nd Edition",Wiley
The Taco Tuesday Cookbook,The Taco Tuesday Cookbook,The Quarto Group
Tailoring,Tailoring,The Quarto Group
Tailwind CSS,Tailwind CSS,SitePoint
Take Care Of Your Type,Take Care Of Your Type,Simon & Schuster
Take Control Of Your Anxiety,Take Control Of Your Anxiety,Red Wheel/Weiser
Tasty Adventures of Rose Honey: Chocolate Chip Cookies,Tasty Adventures of Rose Honey: Chocolate Chip Cookies,Mango Media
Teach Your Kids to Code,Teach Your Kids to Code,No Starch Press
Tech Trends of the 4th Industrial Revolution,Tech Trends of the 4th Industrial Revolution,"Walter De Gruyter, Inc."
Technology Strategy Patterns,Technology Strategy Patterns,O'Reilly
Tenryuji,Tenryuji,Stone Bridge Press
Tensor Analysis for Engineers  Second Edition,Tensor Analysis for Engineers  Second Edition,"Walter De Gruyter, Inc."
"Tensor Analysis for Engineers, Second Edition","Tensor Analysis for Engineers, Second Edition","Walter De Gruyter, Inc."
TensorFlow 2 Pocket Primer,TensorFlow 2 Pocket Primer,"Walter De Gruyter, Inc."
The TensorFlow Workshop,The TensorFlow Workshop,Packt
Tequila & Tacos,Tequila & Tacos,Simon & Schuster
"Test-Driven Development with Python, 2nd Edition","Test-Driven Development with Python, 2nd Edition",O'Reilly
TEST-DRIVEN DEVELOPMENT WITH REACT AND TYPESCRIPT,TEST-DRIVEN DEVELOPMENT WITH REACT AND TYPESCRIPT,Springer
"Test-Driven iOS Development with Swift 4, 3rd Edition","Test-Driven iOS Development with Swift 4, 3rd Edition",Packt
Testing Elixir,Testing Elixir,Pragmatic Programmers
Testing R Code,Testing R Code,Taylor & Francis Group
Texas Hold 'Em,Texas Hold 'Em,Chronicle Books
Texas Hold'em For Dummies,Texas Hold'em For Dummies,Wiley
Texas Q,Texas Q,The Quarto Group
Texas Slow Cooker,Texas Slow Cooker,The Quarto Group
Text Analytics for Business Decisions,Text Analytics for Business Decisions,"Walter De Gruyter, Inc."
Text Mining and Visualization,Text Mining and Visualization,Taylor & Francis Group
Text Processing with Ruby,Text Processing with Ruby,Pragmatic Programmers
They Don't Teach Corporate in College,They Don't Teach Corporate in College,Career Press
Things Japanese,Things Japanese,Stone Bridge Press
Think AI,Think AI,Richdale Ventures
Think Julia,Think Julia,O'Reilly
Think Like a Programmer: An Introduction to Creative Problem Solving,Think Like a Programmer: An Introduction to Creative Problem Solving,No Starch Press
"Think Like an Entrepreneur, Act Like a CEO","Think Like an Entrepreneur, Act Like a CEO",Career Press
Think Python 2E,Think Python 2E,O'Reilly
This is Not the End,This is Not the End,Callisto Publishing
